0,1,2,3,4,5,6,7,8,9,10
citrus fruit,waffles,,,,,,,,,
beef,house keeping products,,,,,,,,,
whole milk,flour,,,,,,,,,
pastry,whole milk,,,,,,,,,
whole milk,butter,,,,,,,,,
sauces,herbs,,,,,,,,,
tropical fruit,frozen vegetables,,,,,,,,,
tropical fruit,packaged fruit/vegetables,,,,,,,,,
onions,other vegetables,,,,,,,,,
tropical fruit,whipped/sour cream,,,,,,,,,
pork,mayonnaise,,,,,,,,,
curd,soda,rolls/buns,,,,,,,,
other vegetables,whole milk,,,,,,,,,
soda,tropical fruit,,,,,,,,,
frankfurter,frankfurter,beef,domestic eggs,hard cheese,processed cheese,curd,shopping bags,,,
frankfurter,bottled water,,,,,,,,,
UHT-milk,pork,,,,,,,,,
whipped/sour cream,berries,cream cheese ,,,,,,,,
whipped/sour cream,baking powder,cat food,,,,,,,,
sweet spreads,bottled beer,,,,,,,,,
hygiene articles,rolls/buns,,,,,,,,,
oil,specialty vegetables,,,,,,,,,
beef,liquor (appetizer),frozen vegetables,,,,,,,,
pip fruit,butter milk,,,,,,,,,
white bread,bottled water,,,,,,,,,
pork,rolls/buns,,,,,,,,,
dishes,fruit/vegetable juice,,,,,,,,,
beef,baking powder,,,,,,,,,
frankfurter,yogurt,waffles,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
canned beer,grapes,UHT-milk,brown bread,,,,,,,
pork,other vegetables,,,,,,,,,
pastry,sliced cheese,,,,,,,,,
sausage,UHT-milk,,,,,,,,,
beef,dog food,yogurt,,,,,,,,
pip fruit,canned vegetables,cling film/bags,,,,,,,,
rolls/buns,liquor (appetizer),,,,,,,,,
chicken,soda,packaged fruit/vegetables,,,,,,,,
cream cheese ,newspapers,,,,,,,,,
citrus fruit,ham,red/blush wine,rolls/buns,specialty chocolate,,,,,,
UHT-milk,herbs,butter,oil,,,,,,,
rolls/buns,whole milk,,,,,,,,,
whole milk,bottled water,chicken,citrus fruit,canned vegetables,,,,,,
specialty cheese,beverages,,,,,,,,,
whole milk,pastry,butter,whole milk,,,,,,,
yogurt,baking powder,,,,,,,,,
sausage,whole milk,,,,,,,,,
bottled water,brown bread,,,,,,,,,
hamburger meat,bottled beer,domestic eggs,,,,,,,,
soda,frozen meals,,,,,,,,,
rolls/buns,seasonal products,,,,,,,,,
frankfurter,baking powder,condensed milk,coffee,,,,,,,
sausage,canned beer,kitchen towels,,,,,,,,
rolls/buns,seasonal products,,,,,,,,,
citrus fruit,brown bread,,,,,,,,,
brown bread,soda,butter,shopping bags,,,,,,,
butter,margarine,,,,,,,,,
tropical fruit,sausage,hamburger meat,zwieback,specialty cheese,domestic eggs,,,,,
frankfurter,specialty chocolate,,,,,,,,,
meat,root vegetables,margarine,,,,,,,,
rolls/buns,whipped/sour cream,,,,,,,,,
soda,pip fruit,pasta,,,,,,,,
sliced cheese,sugar,,,,,,,,,
other vegetables,pork,,,,,,,,,
pastry,hard cheese,,,,,,,,,
frozen meals,napkins,,,,,,,,,
other vegetables,curd,tropical fruit,brown bread,bottled beer,,,,,,
root vegetables,butter,,,,,,,,,
rice,dish cleaner,,,,,,,,,
sausage,frozen meals,,,,,,,,,
misc. beverages,brown bread,,,,,,,,,
pork,packaged fruit/vegetables,pastry,rolls/buns,,,,,,,
whole milk,newspapers,,,,,,,,,
tropical fruit,curd,,,,,,,,,
other vegetables,pip fruit,,,,,,,,,
sausage,tropical fruit,pork,rolls/buns,,,,,,,
whipped/sour cream,soft cheese,,,,,,,,,
berries,mayonnaise,,,,,,,,,
other vegetables,whole milk,yogurt,bottled water,,,,,,,
tropical fruit,soda,,,,,,,,,
sausage,whole milk,whipped/sour cream,domestic eggs,,,,,,,
canned beer,other vegetables,dessert,pastry,,,,,,,
canned beer,tropical fruit,,,,,,,,,
other vegetables,sliced cheese,canned vegetables,,,,,,,,
whole milk,root vegetables,soda,,,,,,,,
oil,whipped/sour cream,,,,,,,,,
pastry,meat spreads,,,,,,,,,
dessert,flower (seeds),,,,,,,,,
pastry,shopping bags,,,,,,,,,
brown bread,newspapers,,,,,,,,,
shopping bags,curd,hard cheese,,,,,,,,
curd,waffles,,,,,,,,,
misc. beverages,liquor (appetizer),,,,,,,,,
brown bread,sugar,beef,citrus fruit,yogurt,,,,,,
curd,bottled water,other vegetables,white bread,,,,,,,
soda,waffles,,,,,,,,,
margarine,pastry,,,,,,,,,
frankfurter,sliced cheese,,,,,,,,,
root vegetables,sausage,condensed milk,other vegetables,canned beer,white bread,hard cheese,frozen vegetables,,,
root vegetables,sliced cheese,,,,,,,,,
whole milk,beverages,,,,,,,,,
citrus fruit,root vegetables,whole milk,chewing gum,coffee,shopping bags,,,,,
whole milk,rolls/buns,,,,,,,,,
pork,yogurt,soda,,,,,,,,
soda,bottled water,,,,,,,,,
UHT-milk,other vegetables,dishes,,,,,,,,
liquor (appetizer),candy,misc. beverages,,,,,,,,
rolls/buns,instant coffee,,,,,,,,,
rolls/buns,pip fruit,margarine,,,,,,,,
yogurt,whole milk,ham,citrus fruit,frozen vegetables,whole milk,,,,,
whole milk,specialty chocolate,,,,,,,,,
sausage,soda,,,,,,,,,
bottled beer,yogurt,pastry,butter,shopping bags,,,,,,
butter milk,rolls/buns,,,,,,,,,
flour,baking powder,,,,,,,,,
yogurt,pastry,waffles,,,,,,,,
pip fruit,root vegetables,,,,,,,,,
frankfurter,bottled water,,,,,,,,,
rolls/buns,cling film/bags,,,,,,,,,
root vegetables,cream cheese ,,,,,,,,,
whole milk,citrus fruit,long life bakery product,salty snack,chocolate,,,,,,
other vegetables,salty snack,brown bread,canned beer,,,,,,,
other vegetables,soda,hard cheese,coffee,whipped/sour cream,newspapers,,,,,
hamburger meat,flour,cling film/bags,,,,,,,,
sausage,soda,,,,,,,,,
onions,curd,,,,,,,,,
other vegetables,pastry,,,,,,,,,
softener,margarine,hygiene articles,,,,,,,,
beef,bottled water,,,,,,,,,
long life bakery product,brown bread,popcorn,,,,,,,,
onions,sliced cheese,,,,,,,,,
sugar,whole milk,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
other vegetables,whipped/sour cream,salty snack,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
pip fruit,brandy,,,,,,,,,
rolls/buns,onions,,,,,,,,,
instant coffee,processed cheese,,,,,,,,,
ham,rum,,,,,,,,,
citrus fruit,beef,whipped/sour cream,other vegetables,,,,,,,
soda,frozen meals,,,,,,,,,
bottled water,domestic eggs,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
chicken,frozen vegetables,candy,,,,,,,,
tropical fruit,other vegetables,hygiene articles,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
yogurt,other vegetables,white wine,frozen vegetables,,,,,,,
white wine,specialty bar,specialty chocolate,,,,,,,,
whole milk,yogurt,,,,,,,,,
root vegetables,domestic eggs,,,,,,,,,
grapes,domestic eggs,,,,,,,,,
long life bakery product,bottled beer,,,,,,,,,
newspapers,red/blush wine,,,,,,,,,
hamburger meat,whole milk,,,,,,,,,
canned beer,yogurt,,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
white wine,dessert,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
citrus fruit,pastry,,,,,,,,,
soda,candy,,,,,,,,,
whipped/sour cream,soda,,,,,,,,,
beef,ice cream,,,,,,,,,
citrus fruit,soda,,,,,,,,,
hamburger meat,cookware,pastry,,,,,,,,
whipped/sour cream,misc. beverages,,,,,,,,,
white wine,beverages,,,,,,,,,
butter,waffles,,,,,,,,,
brown bread,other vegetables,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
sausage,curd,salty snack,,,,,,,,
specialty cheese,butter,,,,,,,,,
pastry,domestic eggs,bottled water,,,,,,,,
beef,fruit/vegetable juice,whole milk,,,,,,,,
bottled water,shopping bags,brown bread,,,,,,,,
frozen meals,napkins,,,,,,,,,
waffles,rolls/buns,,,,,,,,,
pip fruit,root vegetables,pip fruit,spread cheese,,,,,,,
butter,canned fish,cream cheese ,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
sausage,bottled beer,,,,,,,,,
onions,shopping bags,seasonal products,,,,,,,,
long life bakery product,bottled water,,,,,,,,,
misc. beverages,instant coffee,,,,,,,,,
sausage,cream cheese ,,,,,,,,,
pet care,other vegetables,,,,,,,,,
hamburger meat,sugar,,,,,,,,,
other vegetables,chewing gum,,,,,,,,,
other vegetables,semi-finished bread,domestic eggs,newspapers,,,,,,,
tropical fruit,bottled water,,,,,,,,,
frozen meals,whole milk,,,,,,,,,
newspapers,berries,,,,,,,,,
hamburger meat,spread cheese,,,,,,,,,
specialty bar,dessert,,,,,,,,,
specialty chocolate,long life bakery product,,,,,,,,,
curd cheese,UHT-milk,,,,,,,,,
canned beer,citrus fruit,,,,,,,,,
brown bread,whole milk,,,,,,,,,
citrus fruit,waffles,,,,,,,,,
rolls/buns,misc. beverages,soda,,,,,,,,
ice cream,yogurt,,,,,,,,,
misc. beverages,other vegetables,,,,,,,,,
red/blush wine,specialty bar,rolls/buns,,,,,,,,
whole milk,bottled beer,,,,,,,,,
frankfurter,pip fruit,rolls/buns,,,,,,,,
rolls/buns,other vegetables,soda,,,,,,,,
frankfurter,beverages,,,,,,,,,
mayonnaise,decalcifier,,,,,,,,,
ham,other vegetables,,,,,,,,,
pork,specialty cheese,,,,,,,,,
candles,soda,,,,,,,,,
tropical fruit,pork,UHT-milk,hamburger meat,,,,,,,
white bread,curd cheese,,,,,,,,,
bottled water,grapes,,,,,,,,,
soda,tropical fruit,,,,,,,,,
butter,whole milk,,,,,,,,,
soda,tropical fruit,,,,,,,,,
sausage,domestic eggs,frozen meals,,,,,,,,
rolls/buns,coffee,,,,,,,,,
spread cheese,brown bread,,,,,,,,,
frankfurter,bottled water,onions,,,,,,,,
butter milk,newspapers,,,,,,,,,
ham,rolls/buns,canned fish,shopping bags,,,,,,,
hamburger meat,pastry,,,,,,,,,
whole milk,whole milk,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
bottled beer,pip fruit,butter,specialty bar,detergent,specialty bar,,,,,
whipped/sour cream,curd,,,,,,,,,
citrus fruit,soda,whole milk,whipped/sour cream,,,,,,,
butter milk,chocolate,berries,sweet spreads,butter,long life bakery product,napkins,white bread,,,
berries,pasta,soda,canned vegetables,,,,,,,
ice cream,yogurt,,,,,,,,,
other vegetables,bottled water,baking powder,,,,,,,,
hamburger meat,whole milk,,,,,,,,,
frozen meals,mustard,,,,,,,,,
yogurt,yogurt,,,,,,,,,
bottled water,rolls/buns,,,,,,,,,
sparkling wine,butter,,,,,,,,,
pip fruit,popcorn,rolls/buns,bottled water,,,,,,,
specialty bar,yogurt,,,,,,,,,
citrus fruit,whole milk,rolls/buns,pastry,whipped/sour cream,,,,,,
other vegetables,brandy,,,,,,,,,
beef,citrus fruit,specialty bar,white bread,soda,vinegar,long life bakery product,domestic eggs,,,
frankfurter,pork,ketchup,,,,,,,,
tropical fruit,cat food,,,,,,,,,
misc. beverages,rolls/buns,,,,,,,,,
root vegetables,canned beer,,,,,,,,,
tropical fruit,UHT-milk,napkins,whole milk,,,,,,,
tropical fruit,chicken,sausage,organic sausage,other vegetables,whipped/sour cream,other vegetables,butter milk,,,
whole milk,shopping bags,,,,,,,,,
shopping bags,dessert,processed cheese,,,,,,,,
domestic eggs,roll products ,,,,,,,,,
rolls/buns,brown bread,,,,,,,,,
soda,semi-finished bread,,,,,,,,,
whole milk,newspapers,,,,,,,,,
rolls/buns,berries,shopping bags,rice,,,,,,,
nuts/prunes,canned beer,other vegetables,shopping bags,,,,,,,
hygiene articles,cling film/bags,,,,,,,,,
beef,other vegetables,,,,,,,,,
tropical fruit,grapes,sausage,grapes,fruit/vegetable juice,curd,other vegetables,whipped/sour cream,,,
UHT-milk,UHT-milk,,,,,,,,,
frankfurter,soups,,,,,,,,,
pork,whole milk,,,,,,,,,
whole milk,whole milk,,,,,,,,,
butter,frozen vegetables,,,,,,,,,
newspapers,napkins,,,,,,,,,
chicken,whole milk,white bread,newspapers,,,,,,,
ham,frozen meals,,,,,,,,,
packaged fruit/vegetables,sweet spreads,,,,,,,,,
berries,coffee,margarine,,,,,,,,
meat,fish,meat spreads,abrasive cleaner,margarine,,,,,,
white bread,whipped/sour cream,,,,,,,,,
chicken,root vegetables,dish cleaner,,,,,,,,
chicken,UHT-milk,,,,,,,,,
citrus fruit,red/blush wine,,,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
specialty bar,shopping bags,chocolate,,,,,,,,
whole milk,tropical fruit,,,,,,,,,
chicken,tropical fruit,,,,,,,,,
chicken,salty snack,coffee,,,,,,,,
soda,butter,,,,,,,,,
other vegetables,chewing gum,,,,,,,,,
hamburger meat,coffee,,,,,,,,,
napkins,photo/film,dessert,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
sausage,bottled water,napkins,,,,,,,,
margarine,margarine,,,,,,,,,
frozen vegetables,cream cheese ,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
frankfurter,margarine,,,,,,,,,
onions,brown bread,canned vegetables,canned beer,,,,,,,
whole milk,dessert,,,,,,,,,
hard cheese,waffles,,,,,,,,,
whole milk,hamburger meat,newspapers,,,,,,,,
pip fruit,onions,,,,,,,,,
candy,dessert,rolls/buns,canned fish,,,,,,,
frozen meals,frozen vegetables,curd,,,,,,,,
butter,whole milk,,,,,,,,,
sausage,red/blush wine,,,,,,,,,
sausage,whole milk,,,,,,,,,
seasonal products,white bread,specialty chocolate,soda,,,,,,,
pip fruit,pork,brown bread,whole milk,,,,,,,
frozen dessert,pastry,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
other vegetables,sausage,beef,whole milk,prosecco,ice cream,waffles,,,,
whole milk,chocolate,rolls/buns,brown bread,,,,,,,
bottled water,tropical fruit,,,,,,,,,
soups,specialty cheese,,,,,,,,,
root vegetables,domestic eggs,chocolate,,,,,,,,
whole milk,chocolate,,,,,,,,,
photo/film,domestic eggs,cocoa drinks,,,,,,,,
soda,cake bar,,,,,,,,,
specialty bar,sliced cheese,,,,,,,,,
tropical fruit,soda,,,,,,,,,
meat,butter,frozen dessert,,,,,,,,
beverages,cat food,,,,,,,,,
beef,white bread,frozen vegetables,,,,,,,,
rolls/buns,pip fruit,whole milk,yogurt,,,,,,,
other vegetables,canned beer,newspapers,,,,,,,,
root vegetables,yogurt,butter,yogurt,,,,,,,
dessert,curd,,,,,,,,,
tropical fruit,domestic eggs,,,,,,,,,
brown bread,rolls/buns,,,,,,,,,
root vegetables,pet care,,,,,,,,,
pork,whole milk,,,,,,,,,
specialty bar,brown bread,,,,,,,,,
newspapers,white bread,rolls/buns,beverages,,,,,,,
grapes,frozen vegetables,vinegar,,,,,,,,
other vegetables,waffles,rolls/buns,chocolate,,,,,,,
citrus fruit,root vegetables,yogurt,soft cheese,,,,,,,
sausage,whole milk,,,,,,,,,
other vegetables,yogurt,whole milk,butter,shopping bags,,,,,,
butter,whole milk,,,,,,,,,
butter,whole milk,,,,,,,,,
pork,mustard,,,,,,,,,
dessert,beef,,,,,,,,,
soda,root vegetables,,,,,,,,,
cream cheese ,pip fruit,citrus fruit,chicken,other vegetables,curd,specialty chocolate,pastry,,,
onions,brown bread,domestic eggs,,,,,,,,
white bread,whole milk,pastry,shopping bags,,,,,,,
coffee,bottled beer,,,,,,,,,
citrus fruit,margarine,white wine,,,,,,,,
pork,whole milk,other vegetables,tidbits,coffee,,,,,,
red/blush wine,whole milk,margarine,,,,,,,,
soda,photo/film,,,,,,,,,
frozen fruits,dishes,,,,,,,,,
soda,pip fruit,,,,,,,,,
red/blush wine,liquor (appetizer),sauces,coffee,,,,,,,
sausage,tropical fruit,sausage,frankfurter,cream cheese ,other vegetables,hard cheese,chocolate,flour,,
other vegetables,liquor,,,,,,,,,
frankfurter,butter milk,,,,,,,,,
bottled water,other vegetables,root vegetables,rolls/buns,soda,sugar,,,,,
meat,pip fruit,,,,,,,,,
rolls/buns,bottled beer,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
yogurt,yogurt,,,,,,,,,
white wine,chocolate marshmallow,,,,,,,,,
tropical fruit,shopping bags,,,,,,,,,
house keeping products,butter milk,,,,,,,,,
rolls/buns,bottled water,vinegar,,,,,,,,
yogurt,chicken,soda,,,,,,,,
herbs,dessert,yogurt,,,,,,,,
soda,dessert,shopping bags,,,,,,,,
beef,rolls/buns,seasonal products,,,,,,,,
sausage,long life bakery product,beef,other vegetables,margarine,,,,,,
bottled water,fruit/vegetable juice,,,,,,,,,
soda,margarine,,,,,,,,,
cream cheese ,misc. beverages,,,,,,,,,
hamburger meat,whole milk,,,,,,,,,
newspapers,white wine,,,,,,,,,
sausage,rolls/buns,waffles,,,,,,,,
domestic eggs,bottled water,,,,,,,,,
whole milk,soda,yogurt,,,,,,,,
dessert,fruit/vegetable juice,,,,,,,,,
frankfurter,sausage,,,,,,,,,
frankfurter,pastry,salt,,,,,,,,
whole milk,long life bakery product,,,,,,,,,
shopping bags,napkins,,,,,,,,,
root vegetables,seasonal products,,,,,,,,,
meat,root vegetables,,,,,,,,,
meat,margarine,,,,,,,,,
whole milk,hamburger meat,canned beer,fruit/vegetable juice,,,,,,,
finished products,newspapers,whipped/sour cream,,,,,,,,
pork,beef,yogurt,,,,,,,,
shopping bags,pork,canned fish,whole milk,onions,bottled beer,canned beer,,,,
whole milk,ham,other vegetables,rum,canned beer,,,,,,
pastry,misc. beverages,flour,,,,,,,,
whole milk,domestic eggs,canned vegetables,flower (seeds),,,,,,,
specialty cheese,napkins,,,,,,,,,
beef,processed cheese,,,,,,,,,
pip fruit,berries,other vegetables,bottled water,,,,,,,
oil,coffee,,,,,,,,,
chicken,whole milk,,,,,,,,,
margarine,fruit/vegetable juice,,,,,,,,,
pip fruit,whipped/sour cream,,,,,,,,,
chicken,rolls/buns,liquor (appetizer),pip fruit,hygiene articles,,,,,,
citrus fruit,canned beer,flour,,,,,,,,
grapes,packaged fruit/vegetables,detergent,,,,,,,,
butter milk,oil,,,,,,,,,
chocolate,root vegetables,,,,,,,,,
whole milk,skin care,,,,,,,,,
other vegetables,curd,yogurt,pudding powder,,,,,,,
coffee,whipped/sour cream,,,,,,,,,
rolls/buns,white wine,,,,,,,,,
whole milk,hard cheese,white bread,,,,,,,,
citrus fruit,fruit/vegetable juice,,,,,,,,,
pip fruit,dessert,hard cheese,,,,,,,,
soda,processed cheese,,,,,,,,,
chicken,tropical fruit,,,,,,,,,
frozen vegetables,coffee,,,,,,,,,
salt,citrus fruit,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
yogurt,brown bread,,,,,,,,,
other vegetables,UHT-milk,curd,,,,,,,,
other vegetables,cream cheese ,,,,,,,,,
frankfurter,whole milk,red/blush wine,rolls/buns,,,,,,,
sausage,hard cheese,bottled beer,,,,,,,,
pastry,bottled beer,,,,,,,,,
whole milk,packaged fruit/vegetables,abrasive cleaner,napkins,,,,,,,
citrus fruit,white bread,,,,,,,,,
brown bread,beef,bottled beer,specialty fat,,,,,,,
finished products,yogurt,,,,,,,,,
bottled beer,oil,,,,,,,,,
soda,shopping bags,,,,,,,,,
curd,waffles,,,,,,,,,
pork,bottled water,baking powder,,,,,,,,
citrus fruit,sliced cheese,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
whole milk,pip fruit,frozen vegetables,soda,,,,,,,
whole milk,other vegetables,,,,,,,,,
whole milk,domestic eggs,,,,,,,,,
tropical fruit,canned beer,detergent,bottled water,,,,,,,
root vegetables,red/blush wine,salty snack,,,,,,,,
berries,hard cheese,dishes,,,,,,,,
pip fruit,whipped/sour cream,,,,,,,,,
bottled beer,oil,,,,,,,,,
pasta,margarine,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
canned beer,UHT-milk,,,,,,,,,
dog food,processed cheese,,,,,,,,,
beef,margarine,,,,,,,,,
tropical fruit,mayonnaise,liquor,,,,,,,,
brown bread,whipped/sour cream,,,,,,,,,
white wine,curd,,,,,,,,,
cookware,sausage,soda,spices,,,,,,,
domestic eggs,whipped/sour cream,,,,,,,,,
beef,frozen vegetables,,,,,,,,,
specialty chocolate,brandy,,,,,,,,,
pork,meat,whole milk,salty snack,whole milk,frozen potato products,processed cheese,rolls/buns,,,
sausage,root vegetables,,,,,,,,,
root vegetables,butter milk,,,,,,,,,
frankfurter,whipped/sour cream,,,,,,,,,
other vegetables,candy,napkins,,,,,,,,
other vegetables,herbs,,,,,,,,,
frozen vegetables,coffee,,,,,,,,,
frankfurter,hamburger meat,,,,,,,,,
tropical fruit,grapes,,,,,,,,,
UHT-milk,rolls/buns,,,,,,,,,
tropical fruit,oil,,,,,,,,,
rolls/buns,soda,,,,,,,,,
fruit/vegetable juice,candy,fruit/vegetable juice,,,,,,,,
tropical fruit,dessert,rolls/buns,long life bakery product,,,,,,,
yogurt,chicken,liquor,chewing gum,soda,,,,,,
yogurt,pip fruit,,,,,,,,,
semi-finished bread,soda,shopping bags,long life bakery product,,,,,,,
whole milk,whole milk,,,,,,,,,
chicken,beef,,,,,,,,,
organic sausage,other vegetables,,,,,,,,,
fruit/vegetable juice,candy,,,,,,,,,
cream cheese ,soft cheese,,,,,,,,,
curd,light bulbs,,,,,,,,,
chicken,fruit/vegetable juice,,,,,,,,,
UHT-milk,soft cheese,,,,,,,,,
fruit/vegetable juice,beverages,,,,,,,,,
whole milk,yogurt,yogurt,rolls/buns,,,,,,,
tropical fruit,specialty chocolate,,,,,,,,,
condensed milk,rolls/buns,,,,,,,,,
whole milk,onions,,,,,,,,,
citrus fruit,white bread,pastry,,,,,,,,
whole milk,liver loaf,yogurt,fruit/vegetable juice,,,,,,,
rolls/buns,yogurt,newspapers,margarine,,,,,,,
meat,whole milk,processed cheese,butter,,,,,,,
shopping bags,salty snack,,,,,,,,,
bottled beer,yogurt,other vegetables,,,,,,,,
onions,berries,,,,,,,,,
rolls/buns,light bulbs,long life bakery product,,,,,,,,
UHT-milk,whipped/sour cream,,,,,,,,,
pip fruit,flour,other vegetables,,,,,,,,
sausage,other vegetables,waffles,,,,,,,,
soda,packaged fruit/vegetables,butter milk,,,,,,,,
chicken,sugar,,,,,,,,,
other vegetables,salty snack,,,,,,,,,
whole milk,dog food,,,,,,,,,
sausage,herbs,,,,,,,,,
waffles,curd,,,,,,,,,
